seed,noise_model,family,n_candidates,best_set,D_logdet_best,loss_vs_unconstrained_optimum,margin_over_clinical,rank_of_56
4,limb_artifact_x4,precordial_only,20,V1+V2+V5,189.808,0,12.3419,1
4,limb_artifact_x4,contains_II,21,II+V1+V5,177.466,-12.3419,0,14
4,chest_artifact_x4,unconstrained,56,I+II+V1,190.836,0,23.7426,1
4,chest_artifact_x4,at_most_one_precordial,6,I+II+V1,190.836,0,23.7426,1
4,chest_artifact_x4,precordial_only,20,V1+V2+V5,154.205,-36.6309,-12.8883,31
4,chest_artifact_x4,contains_II,21,I+II+V1,190.836,0,23.7426,1
4,ar1_rho0.8,unconstrained,56,I+V1+V5,83.2393,0,7.88059,1
4,ar1_rho0.8,at_most_one_precordial,6,I+II+V1,73.8342,-9.40516,-1.52457,16
4,ar1_rho0.8,precordial_only,20,V1+V2+V5,78.9708,-4.26854,3.61205,4
4,ar1_rho0.8,contains_II,21,II+V1+V5,75.3587,-7.88059,0,12
4,empirical_full_ar1,unconstrained,56,I+V2+V4,-1.57501,0,16.4703,1
4,empirical_full_ar1,at_most_one_precordial,6,I+II+V4,-21.1791,-19.6041,-3.13382,34
4,empirical_full_ar1,precordial_only,20,V1+V2+V4,-6.57893,-5.00392,11.4664,5
4,empirical_full_ar1,contains_II,21,II+V2+V5,-3.83194,-2.25694,14.2134,2
