lead_set,index,param,crb_scaled,identifiability_score,one_over_score,rel_diff_crb_vs_1_over_score
II+V1+V5,28,tau_rep4,0.09925187158236567,10.075376756700601,0.09925187158236567,0.0
II+V1+V5,29,tau_rep5,0.2807087914065694,3.5624106925516017,0.2807087914065694,0.0
II+V1+V5,30,tau_rep6,0.4166991272450006,2.3998130416338608,0.4166991272450006,0.0
II+V1+V5,31,tau_rep7,0.23513189221183492,4.252932218565572,0.2351318922118349,1.1804258178054117e-16
II+V1+V5,32,q0,0.1286763172173763,7.7714378342882915,0.1286763172173763,0.0
II+V1+V5,33,q1,0.06874630055264996,14.5462372805667,0.06874630055264996,0.0
II+V1+V5,34,q2,0.09599688286332021,10.417004908625982,0.09599688286332021,0.0
II+V1+V5,35,q3,0.08633029426775925,11.583419337115108,0.08633029426775925,0.0
II+V1+V5,36,q4,0.16588398708061836,6.028309408273431,0.16588398708061836,0.0
II+V1+V5,37,q5,0.14262412229023316,7.011436662621829,0.14262412229023316,0.0
II+V1+V5,38,q6,0.10640991535411043,9.397620481815107,0.10640991535411043,0.0
II+V1+V5,39,q7,0.07919314026283876,12.627356317492163,0.07919314026283876,0.0
II+V1+V5,40,alpha_ST0,6.684782910574344,0.14959348917945367,6.684782910574344,0.0
II+V1+V5,41,alpha_ST1,5.912179610922128,0.1691423579474151,5.912179610922128,0.0
II+V1+V5,42,alpha_ST2,9.506233454780078,0.10519413443367139,9.506233454780078,0.0
II+V1+V5,43,alpha_ST3,8.525076509241536,0.11730100004568388,8.525076509241536,0.0
II+V1+V5,44,alpha_ST4,5.692851811949772,0.17565888469130994,5.692851811949772,0.0
II+V1+V5,45,alpha_ST5,5.981881737440302,0.16717147611612737,5.981881737440302,0.0
II+V1+V5,46,global_gain,0.12002847414977101,8.331356430909922,0.120028474149771,1.156207966994383e-16
I+II+V5,0,delta_root,0.13931404539675932,7.178027148318397,0.13931404539675932,0.0
I+II+V5,1,edge_prox0,0.4097330149112187,2.4406136767296647,0.4097330149112187,0.0
I+II+V5,2,edge_prox1,1.6227744544520204,0.6162285814005377,1.6227744544520204,0.0
I+II+V5,3,edge_leaf0,0.892875048834898,1.1199775391919486,0.892875048834898,0.0
I+II+V5,4,edge_leaf1,0.8884116754098123,1.1256042977358593,0.8884116754098123,0.0
I+II+V5,5,edge_leaf2,0.8853472457288858,1.1295003229797402,0.8853472457288858,0.0
I+II+V5,6,edge_leaf3,0.8900282863821094,1.1235597961329031,0.8900282863821094,0.0
I+II+V5,7,edge_leaf4,0.888126974116304,1.1259651256454752,0.888126974116304,0.0
I+II+V5,8,APD0,1.5003681116250103,0.6665031016401206,1.5003681116250103,0.0
I+II+V5,9,APD1,1.7675866424898783,0.565743130187592,1.7675866424898785,1.2562020983155443e-16
I+II+V5,10,APD2,1.07546039406834,0.9298343346862991,1.07546039406834,0.0
I+II+V5,11,APD3,0.12789318234091968,7.819025077774205,0.12789318234091968,0.0
I+II+V5,12,APD4,0.046739310956131604,21.39526620190392,0.046739310956131604,0.0
I+II+V5,13,APD5,0.13342931361295182,7.49460499287865,0.13342931361295182,0.0
I+II+V5,14,APD6,0.317072607371075,3.1538517574609792,0.317072607371075,0.0
I+II+V5,15,APD7,0.14511778590501373,6.890954087836938,0.14511778590501373,0.0
I+II+V5,16,tau_dep0,0.7055046650808756,1.4174250710097924,0.7055046650808756,0.0
I+II+V5,17,tau_dep1,2.1816004965455713,0.4583790669205649,2.1816004965455713,0.0
