seed,pair,recon_feature,obs_feature,family,aggregation,unit,n,pearson_r,pearson_p,spearman_rho,spearman_p,recon_mean,recon_sd,obs_mean,obs_sd,ba_bias,ba_sd_diff,ba_loa_lower,ba_loa_upper,ba_loa_width,ba_bias_over_obs_sd,ba_loa_width_over_obs_sd,ba_prop_bias_slope
2,Twidth_std,Twidth_std,obs_Twidth_std,Twidth,std,fraction of T window,1594,0.3207347704692506,1.8407148263043888e-39,0.3073130049053802,3.283756740466889e-36,0.10454989154680097,0.04120598484231006,0.13381823034083204,0.047659518152459654,-0.02926833879403105,0.052053896719416896,-0.13129397636408816,0.07275729877602606,0.20405127514011423,-0.6141131914175793,4.281438064215582,-0.2193473289150893
2,Twidth_maxabs,Twidth_maxabs,obs_Twidth_maxabs,Twidth,maxabs,fraction of T window,1594,0.25376065801734005,7.628797758581137e-25,0.28053531406310417,3.258434361564902e-30,0.8708086358326483,0.08836764772346392,0.7811188508631508,0.14138228130678493,0.08968978496949769,0.14648212298985339,-0.19741517609061493,0.37679474602961033,0.5742099221202253,0.6343778310867692,4.061399468256203,-0.7135687694607913
2,Twidth_range,Twidth_range,obs_Twidth_range,Twidth,range,fraction of T window,1594,0.2705757538291361,3.818670737906541e-28,0.2683203259900498,1.0928429274215932e-27,0.37247436507593124,0.14232391210208217,0.43659412451866914,0.14285187166868443,-0.06411975944273786,0.17222216325822562,-0.40167519942886004,0.27343568054338435,0.6751108799722444,-0.4488548780897353,4.725950539437281,-0.0058283630080911385
2,Tasym_mean,Tasym_mean,obs_Tasym_mean,Tasym,mean,dimensionless (-1..1),1594,0.19702617143000706,2.054389221152522e-15,0.15545751923958626,4.383219434739823e-10,0.10534374768774096,0.2790894385596233,0.2412077130977936,0.17656416296584454,-0.13586396541005263,0.2994128002675411,-0.7227130539344332,0.4509851231143279,1.1736981770487611,-0.7694877778586068,6.647431490816215,0.7271901907754742
2,Tasym_std,Tasym_std,obs_Tasym_std,Tasym,std,dimensionless (-1..1),1594,0.2610188888397008,3.069746135326143e-26,0.28390695340896527,6.209608704750839e-31,0.4877193957052705,0.17208999287858376,0.24563267710040257,0.12547888801420454,0.242086718604868,0.18462721959304476,-0.11978263179749973,0.6039560690072358,0.7237387008047355,1.9293023905141966,5.767812516180462,0.4898241822941458
2,Tasym_maxabs,Tasym_maxabs,obs_Tasym_maxabs,Tasym,maxabs,dimensionless (-1..1),1594,0.34331557746518915,2.5636826137760347e-45,0.4585298008135894,1.0976125046746703e-83,0.9128443608749915,0.12860355420380037,0.7170245943583987,0.26976108768671586,0.19581976651659275,0.25590847862158467,-0.3057608515817132,0.6974003846148986,1.0031612361966118,0.7259007153174216,3.7187025185842306,-0.9941099342864991
2,Tasym_range,Tasym_range,obs_Tasym_range,Tasym,range,dimensionless (-1..1),1594,0.20183241325187717,4.0960248645787095e-16,0.2094866046453934,2.8853203277357753e-17,1.4678625359969422,0.4037201675726705,0.8741156783221066,0.4094765453486951,0.5937468576748356,0.5137407830672652,-0.41318507713700414,1.6006787924866752,2.0138638696236795,1.4500143278517277,4.918142180546012,-0.023558915786182275
2,Tlowamp_mean,Tlowamp_mean,obs_Tlowamp_mean,Tlowamp,mean,dimensionless (0..1),1594,0.8816201081493149,0.0,0.9048415304862076,0.0,0.5623307261166876,0.10963808262452591,0.4645905450332497,0.1296325715229836,0.0977401810834379,0.061357700848213355,-0.022520912579060262,0.21800127474593606,0.24052218732499633,0.7539785713971489,1.8554147657431312,-0.17756532502492328
2,Tlowamp_std,Tlowamp_std,obs_Tlowamp_std,Tlowamp,std,dimensionless (0..1),1594,0.7313922285326903,5.99359383045088e-267,0.725877578414018,5.0537246530207195e-261,0.17308236005583438,0.05306994771348642,0.19258673852572147,0.04643616833644405,-0.019504378469887076,0.03698516221481313,-0.0919952964109208,0.05298653947114665,0.14498183588206745,-0.42002557852258543,3.122174827854665,0.15391339774435414
2,Tlowamp_maxabs,Tlowamp_maxabs,obs_Tlowamp_maxabs,Tlowamp,maxabs,dimensionless (0..1),1594,0.45801948026968753,1.760398296334292e-83,0.4542110105438972,5.831105634063457e-82,0.837308313582183,0.06542468775857223,0.7972803746925972,0.08167685840061717,0.04002793888958595,0.07782337170951999,-0.11250586966107323,0.19256174744024512,0.30506761710131836,0.4900768672229378,3.735055719271068,-0.30173430089683795
