rank_by_mean_pearson_r,pair,family,aggregation,unit,n_fold10,pearson_r_mean,pearson_r_sd,spearman_rho_mean,spearman_rho_sd,ba_bias_mean,ba_bias_sd,ba_sd_diff_mean,ba_sd_diff_sd,ba_loa_lower_mean,ba_loa_lower_sd,ba_loa_upper_mean,ba_loa_upper_sd,ba_loa_width_mean,ba_loa_width_sd,ba_bias_over_obs_sd_mean,ba_bias_over_obs_sd_sd,ba_loa_width_over_obs_sd_mean,ba_loa_width_over_obs_sd_sd,ba_prop_bias_slope_mean,ba_prop_bias_slope_sd,recon_mean_mean,recon_mean_sd,recon_sd_mean,recon_sd_sd,obs_mean_mean,obs_mean_sd,obs_sd_mean,obs_sd_sd,pearson_r_s42,pearson_r_s1,pearson_r_s2,pearson_r_s3,pearson_r_s4,pearson_r_min,pearson_r_max,domain,fidelity_band,pearson_minus_spearman,recon_over_obs_mean
22,Tlowamp_std,Tlowamp,std,dimensionless (0..1),1594.0,0.7758934279168026,0.0298226389578441,0.7589746046364563,0.0248218984580313,-0.0074915912731493,0.0092619552333095,0.0331877307384145,0.002308910285927,-0.0725395435204417,0.0133840170772177,0.0575563609741431,0.0057788725629522,0.1300959044945848,0.009050928320834,-0.1613309526072537,0.1994556304948315,2.801607220302949,0.1949111790459836,0.1205666925687328,0.0295344091130694,0.1850951472525721,0.0092619552333095,0.0517015171589456,0.0013453281731881,0.1925867385257214,0.0,0.046436168336444,0.0,0.7777673263249395,0.7987462848609261,0.7313922285326903,0.7650934129630633,0.8064678869023936,0.7313922285326903,0.8064678869023936,voltage-derived (saturating),B_partial,0.01691882328034633,0.9611001706010576
23,Tlowamp_range,Tlowamp,range,dimensionless (0..1),1594.0,0.725155868669031,0.0287382046869097,0.6939534703168568,0.0213432678675937,-0.0499725377164366,0.021303820534068,0.1104001187604013,0.0077734364394082,-0.2663567704868233,0.0351422408526217,0.16641169505395,0.0117045248887893,0.4327684655407733,0.0304718708424805,-0.3503718559558158,0.1493672220895826,3.034264365981921,0.213647063555353,0.0870398296905714,0.0460649239906456,0.5821244223776663,0.0213038205340679,0.1537987100107409,0.0059540526540821,0.6320969600941029,0.0,0.142627145608232,0.0,0.7285772517293705,0.7420509723677138,0.6831462486275641,0.7135716188779577,0.7584332517425489,0.6831462486275641,0.7584332517425489,voltage-derived (saturating),B_partial,0.0312023983521742,0.9209416578921737
24,Tlowamp_maxabs,Tlowamp,maxabs,dimensionless (0..1),1594.0,0.4847538461459257,0.0370647260893478,0.4791912006851802,0.0320505568446621,0.0357296544692597,0.0036293090677285,0.0759093513107153,0.0028064542904914,-0.1130526740997424,0.007730562201249,0.1845119830382618,0.0052054285628435,0.2975646571380043,0.0110013008187263,0.4374513805857859,0.044434973856697,3.6431942041462735,0.1346929966963958,-0.2996038130882331,0.0402252856209829,0.833010029161857,0.0036293090677285,0.0652852522588026,0.0020218750693915,0.7972803746925972,0.0,0.0816768584006171,0.0,0.4968216817254386,0.4504381643153592,0.4580194802696875,0.4756471685475754,0.542842735871568,0.4504381643153592,0.542842735871568,voltage-derived (saturating),B_partial,0.00556264546074553,1.0448144161118176
25,T_sign_discordance_rate,T_sign_discordance_rate,rate,fraction of leads,1594.0,0.3703688108201445,0.1246024316053541,0.4249838786206029,0.1224124774835161,0.1070681723128398,0.0222799731833186,0.1854486703766462,0.0183912786100114,-0.2564112216253867,0.0141894534422073,0.4705475662510664,0.0582255330276995,0.7269587878764532,0.072093812151245,0.7286089212441074,0.151617300228246,4.947022507080449,0.4906051309665878,0.3007178495940315,0.0665200909320687,0.3439460476787955,0.0222799731833186,0.1807798020233486,0.0077973523710062,0.2368778753659556,0.0,0.1469487528783202,0.0,0.4570804825266158,0.4215751252767505,0.1657497809400968,0.3409953293306698,0.4664433360265894,0.1657497809400968,0.4664433360265894,polarity,C_not_recovered,-0.05461506780045838,1.4519973515780187
26,Tasym_maxabs,Tasym,maxabs,dimensionless (-1..1),1594.0,0.366549008353533,0.0216068331591488,0.4684819429560837,0.0123742680395098,0.1803546896767586,0.0152467502181228,0.2568993884848369,0.003766735776361,-0.3231681117535217,0.015438623975943,0.683877491107039,0.0183190395079135,1.0070456028605608,0.0147656042433354,0.6685719249701856,0.056519457082815,3.733101803141016,0.0547358567166047,-0.7857884538141402,0.1280093684158657,0.8973792840351574,0.0152467502181228,0.1526516612652324,0.0151460927081147,0.7170245943583987,0.0,0.2697610876867158,0.0,0.3991282840296472,0.3715800838188812,0.3433155774651891,0.3676539131630295,0.3510671832909182,0.3433155774651891,0.3991282840296472,shape,C_not_recovered,-0.1019329346025507,1.2515320828543435
27,Tptime_mean,Tptime,mean,ms,1594.0,0.359682179457562,0.0636992765318744,0.4155041629662667,0.0822010547045764,18.01066499372648,9.931445413385497,40.38960567541535,3.8183826949213375,-61.1529621300876,5.437539453706759,97.17429211754056,16.724885447303592,158.32725424762816,14.968060164091636,0.5804675825463987,0.3200815801253001,5.102745432017193,0.4824071571974561,0.3407353960255612,0.1287692076421589,272.53596821413635,9.931445413385498,39.2717909580226,3.265015078471015,254.52530322040985,0.0,31.02785674045256,0.0,0.4467136769795689,0.3528092993303697,0.2679053993484043,0.3578034437989008,0.3731790778305661,0.2679053993484043,0.4467136769795689,timing,C_not_recovered,-0.05582198350870471,1.0707617858257883
28,Tasym_std,Tasym,std,dimensionless (-1..1),1594.0,0.3202954530603372,0.0442429725574269,0.3258555925925012,0.0394650626692071,0.1858924334084146,0.0322159865727061,0.1733942631877283,0.0078245158256013,-0.153960322439533,0.0208290039628894,0.5257451892563623,0.0459595593678165,0.6797055116958953,0.0306721020363572,1.4814638251127243,0.256744278520058,5.416891418570356,0.2444403398991321,0.4203406573323316,0.0612504700607628,0.4315251105088172,0.032215986572706,0.1664382388587375,0.0064491074366356,0.2456326771004025,0.0,0.1254788880142045,0.0,0.3513156447427927,0.3733434301669908,0.2610188888397008,0.2971200538123539,0.318679247739848,0.2610188888397008,0.3733434301669908,shape,C_not_recovered,-0.005560139532163999,1.7567903244910328
29,Twidth_std,Twidth,std,fraction of T window,1594.0,0.3198622596172591,0.0321000495372094,0.3116115377116137,0.032464805257492,-0.0254779931980247,0.0044841397426028,0.0509993607799726,0.0013889329213688,-0.1254367403267711,0.0071615652286259,0.0744807539307216,0.0019362152149766,0.1999174942574927,0.0054446170517659,-0.5345835246701893,0.0940869718459675,4.194702380707457,0.114239867770988,-0.3045406677457421,0.0618850368566162,0.1083402371428072,0.0044841397426028,0.0389381040590087,0.0016156962289543,0.133818230340832,0.0,0.0476595181524596,0.0,0.3149279405523347,0.3699107780659496,0.3207347704692506,0.2805241655402964,0.3132136434584641,0.2805241655402964,0.3699107780659496,shape,C_not_recovered,0.008250721905645408,0.809607456823088
30,Tptime_std,Tptime,std,ms,1594.0,0.3021726520630406,0.0389205931660008,0.3159536286651189,0.0350594978333971,35.0638664050703,5.984938053837537,29.408875525468744,1.1415929952862258,-22.577529624848445,4.685821080246098,92.70526243498904,7.72625780341101,115.28279205983748,4.475044541522008,1.5753215967919847,0.268886552976061,5.179333903807047,0.2010512540581181,0.2982232612287439,0.0625702637378834,68.9451082095873,5.98493805383754,27.08789097889568,1.1097711246014,33.881241804517,0.0,22.25822744795414,0.0,0.331304808921897,0.3472600365354945,0.2475782560223226,0.2908477558960876,0.2938724029394016,0.2475782560223226,0.3472600365354945,timing,C_not_recovered,-0.013780976602078276,2.034904995731167
31,Tasym_mean,Tasym,mean,dimensionless (-1..1),1594.0,0.2709657946619502,0.0519301469553046,0.2671491112351528,0.0706872444431095,-0.0432429195534783,0.0574247294211183,0.2571764862626589,0.0241874492078334,-0.5473088326282898,0.1010915836085542,0.460822993521333,0.029506169796222,1.0081318261496228,0.0948148008947073,-0.2449133438354841,0.3252343423292918,5.709719397274524,0.536999124295958,0.4710694935563307,0.1507658931568562,0.1979647935443152,0.0574247294211183,0.240415488828178,0.0230608478719934,0.2412077130977936,0.0,0.1765641629658445,0.0,0.3428566747471827,0.2621708324041656,0.197026171430007,0.2736082775146136,0.2791670172137823,0.197026171430007,0.3428566747471827,shape,C_not_recovered,0.003816683426797418,0.8207233135370497
